,1. open,2. high,3. low,4. close,5. volume
2024-11-07,224.625,227.875,224.57,227.48,42137691.0
2024-11-06,222.61,226.065,221.19,222.72,54561121.0
2024-11-05,221.795,223.95,221.14,223.45,28111338.0
2024-11-04,220.99,222.79,219.71,222.01,44944468.0
2024-11-01,220.965,225.35,220.27,222.91,65276741.0
2024-10-31,229.34,229.83,225.37,225.91,64370086.0
2024-10-30,232.61,233.47,229.55,230.1,47070907.0
2024-10-29,233.1,234.325,232.32,233.67,35417247.0
2024-10-28,233.32,234.73,232.55,233.4,36087134.0
2024-10-25,229.74,233.22,229.57,231.41,38802304.0
2024-10-24,229.98,230.82,228.41,230.57,31109503.0
2024-10-23,234.08,235.144,227.76,230.76,52286979.0
2024-10-22,233.885,236.22,232.6,235.86,38846578.0
2024-10-21,234.45,236.85,234.45,236.48,36254470.0
2024-10-18,236.18,236.18,234.01,235.0,46431472.0
2024-10-17,233.43,233.85,230.52,232.15,32993810.0
2024-10-16,231.6,232.12,229.84,231.78,34082240.0
2024-10-15,233.61,237.49,232.37,233.85,64751367.0
2024-10-14,228.7,231.73,228.6,231.3,39882085.0
2024-10-11,229.3,229.41,227.34,227.55,31759188.0
2024-10-10,227.78,229.5,227.17,229.04,28183544.0
2024-10-09,225.23,229.75,224.83,229.54,33591091.0
2024-10-08,224.3,225.98,223.25,225.77,31855693.0
2024-10-07,224.5,225.69,221.33,221.69,39505354.0
2024-10-04,227.9,228.0,224.13,226.8,37345098.0
2024-10-03,225.14,226.805,223.32,225.67,34044158.0
2024-10-02,225.89,227.37,223.02,226.78,32880605.0
2024-10-01,229.52,229.65,223.74,226.21,63285048.0
2024-09-30,230.04,233.0,229.65,233.0,54793391.0
2024-09-27,228.46,229.52,227.3,227.79,34025967.0
