,1. open,2. high,3. low,4. close,5. volume
2024-11-07,207.44,212.25,207.19,210.05,52878383.0
2024-11-06,200.01,207.55,199.14,207.09,72292167.0
2024-11-05,196.04,199.82,195.99,199.5,30564784.0
2024-11-04,196.45,197.33,194.3101,195.78,38492062.0
2024-11-01,199.0,200.5,197.02,197.93,99687847.0
2024-10-31,190.51,190.6,185.23,186.4,75146759.0
2024-10-30,194.695,195.61,192.42,192.73,37707550.0
2024-10-29,188.58,191.4599,187.815,190.83,35690158.0
2024-10-28,189.565,190.21,188.21,188.39,27930836.0
2024-10-25,187.85,190.45,187.53,187.83,29362060.0
2024-10-24,185.25,187.11,183.86,186.38,21647395.0
2024-10-23,188.85,189.16,183.69,184.71,31937089.0
2024-10-22,188.35,191.5201,186.975,189.7,29650593.0
2024-10-21,188.05,189.46,186.4,189.07,24639393.0
2024-10-18,187.15,190.74,186.28,188.99,37417670.0
2024-10-17,188.22,188.94,186.0,187.53,25039414.0
2024-10-16,187.05,187.78,185.61,186.89,23456812.0
2024-10-15,187.63,188.41,184.58,187.69,32178925.0
2024-10-14,189.78,189.83,187.36,187.54,22614407.0
2024-10-11,186.63,189.9284,186.3,188.82,25751557.0
2024-10-10,187.13,188.134,185.83,186.65,27785043.0
2024-10-09,182.82,185.845,182.05,185.17,26343117.0
2024-10-08,181.915,183.09,180.92,182.72,26372086.0
2024-10-07,182.95,183.6,180.25,180.8,42364201.0
2024-10-04,185.75,187.6,183.6,186.51,41079011.0
2024-10-03,183.045,183.44,180.875,181.96,30204302.0
2024-10-02,184.44,186.6,184.04,184.76,23704056.0
2024-10-01,184.9,186.19,183.4519,185.13,36044906.0
2024-09-30,187.14,188.49,184.65,186.33,41680400.0
2024-09-27,190.68,190.9,187.34,187.97,36002316.0
