,1. open,2. high,3. low,4. close,5. volume
2024-11-07,45.04,45.23,44.505,44.77,48339732.0
2024-11-06,44.8,45.55,44.0,45.41,110086715.0
2024-11-05,41.51,42.01,41.375,41.88,30851406.0
2024-11-04,41.61,42.02,41.11,41.33,31110086.0
2024-11-01,42.15,42.43,41.75,41.76,31220003.0
2024-10-31,42.29,42.55,41.8,41.82,28138240.0
2024-10-30,41.71,42.9,41.64,42.31,38100539.0
2024-10-29,42.59,42.81,42.47,42.53,22313522.0
2024-10-28,42.07,42.745,42.005,42.62,24527603.0
2024-10-25,42.92,42.98,41.785,41.89,27466909.0
2024-10-24,42.32,42.66,41.97,42.65,28392010.0
2024-10-23,42.2,42.47,42.0199,42.34,28569350.0
2024-10-22,41.65,42.405,41.57,42.3,37104409.0
2024-10-21,42.25,42.41,41.74,41.76,26589499.0
2024-10-18,42.43,42.645,42.11,42.32,30593526.0
2024-10-17,42.83,43.0,42.465,42.6,31708564.0
2024-10-16,42.21,43.1,42.145,42.8,42437818.0
2024-10-15,43.225,43.3615,42.05,42.14,61489989.0
2024-10-14,41.96,42.1799,41.72,41.91,28098947.0
2024-10-11,40.5,42.17,40.4,41.95,50660740.0
2024-10-10,40.01,40.13,39.77,39.97,26182261.0
2024-10-09,39.87,40.385,39.72,40.19,27420997.0
2024-10-08,40.05,40.145,39.805,39.93,26023649.0
2024-10-07,40.21,40.435,39.71,39.96,27177530.0
2024-10-04,39.93,40.25,39.615,40.11,34255929.0
2024-10-03,38.98,39.27,38.725,39.25,26030228.0
2024-10-02,39.25,39.54,39.045,39.23,23302745.0
2024-10-01,39.51,39.56,38.94,39.22,26291185.0
2024-09-30,39.23,39.79,39.02,39.68,35058346.0
2024-09-27,39.65,39.9,39.352,39.4,27861084.0
