,1. open,2. high,3. low,4. close,5. volume
2024-11-12,28.78,28.9,28.48,28.48,503435.0
2024-11-11,29.02,29.26,28.88,28.98,621229.0
2024-11-08,28.94,29.08,28.8,29.0,367776.0
2024-11-07,28.78,28.96,28.64,28.86,646260.0
2024-11-06,29.76,29.8,28.54,28.74,1433695.0
2024-11-05,29.32,29.78,29.3,29.66,498830.0
2024-11-04,29.28,29.42,29.2,29.3,390165.0
2024-11-01,29.08,29.42,29.08,29.36,444421.0
2024-10-31,29.06,29.16,28.98,29.04,741954.0
2024-10-30,29.2,29.36,29.04,29.32,788278.0
2024-10-29,29.62,29.62,29.2,29.26,795446.0
2024-10-28,29.42,29.64,29.38,29.56,522878.0
2024-10-25,29.14,29.26,28.92,29.26,653054.0
2024-10-24,29.56,29.7,29.12,29.12,1055600.0
2024-10-23,29.54,29.84,29.32,29.34,765635.0
2024-10-22,29.8,29.88,29.48,29.6,833588.0
2024-10-21,30.22,30.24,29.8,29.82,644858.0
2024-10-18,30.4,30.54,30.28,30.34,744719.0
2024-10-17,30.32,30.54,30.26,30.52,475395.0
2024-10-16,30.4,30.44,30.12,30.28,721926.0
2024-10-15,30.26,30.6,30.24,30.44,1067108.0
2024-10-14,29.6,30.26,29.54,30.12,930908.0
2024-10-11,29.06,29.58,29.02,29.58,426708.0
2024-10-10,29.28,29.36,29.06,29.06,597038.0
2024-10-09,29.3,29.4,29.2,29.36,339838.0
2024-10-08,28.78,29.38,28.7,29.22,772696.0
2024-10-07,29.08,29.1,28.72,28.76,776960.0
2024-10-04,29.14,29.16,28.56,29.02,840497.0
2024-10-03,29.14,29.32,28.94,29.18,701961.0
2024-10-02,28.94,29.5,28.94,29.14,983902.0
