,1. open,2. high,3. low,4. close,5. volume
2024-11-07,177.41,181.08,177.19,180.75,25352939.0
2024-11-06,173.8,176.94,173.5,176.51,33695538.0
2024-11-05,169.43,170.53,168.84,169.74,18242050.0
2024-11-04,169.93,170.73,168.011,169.24,21492744.0
2024-11-01,170.07,172.32,168.88,171.29,31796477.0
2024-10-31,173.13,176.82,171.0,171.11,44768981.0
2024-10-30,180.68,182.02,174.0599,174.46,68890787.0
2024-10-29,167.73,170.38,167.0896,169.68,42169025.0
2024-10-28,168.75,168.75,163.95,166.72,32138641.0
2024-10-25,163.67,165.59,163.42,165.27,19828884.0
2024-10-24,162.83,163.33,161.01,162.72,22412527.0
2024-10-23,164.76,165.82,161.925,162.78,18280518.0
2024-10-22,162.98,165.77,162.98,165.14,16568121.0
2024-10-21,162.95,164.5,162.62,164.07,20946455.0
2024-10-18,163.19,164.71,163.08,163.42,19757661.0
2024-10-17,165.73,166.37,162.76,162.93,21453395.0
2024-10-16,164.53,165.8,163.74,165.16,16406030.0
2024-10-15,165.785,167.68,164.625,165.46,20247195.0
2024-10-14,163.64,166.226,163.4,164.96,19016141.0
2024-10-11,162.13,163.9,161.235,163.24,15344251.0
2024-10-10,160.87,163.07,160.395,162.08,14144068.0
2024-10-09,163.45,164.84,159.74,161.86,31181774.0
2024-10-08,163.94,164.725,162.87,164.38,23072733.0
2024-10-07,167.72,168.48,162.75,162.98,22463140.0
2024-10-04,168.06,168.23,165.48,167.06,19093724.0
2024-10-03,164.41,166.64,163.923,165.86,15073101.0
2024-10-02,166.42,167.52,164.73,165.86,17760179.0
2024-10-01,167.685,169.16,164.58,166.99,28338123.0
2024-09-30,163.32,166.15,163.26,165.85,20481303.0
2024-09-27,162.81,165.7,162.6261,163.95,21101307.0
