,1. open,2. high,3. low,4. close,5. volume
2024-11-07,18.47,19.425,18.3,18.97,6168376.0
2024-11-06,19.25,19.82,18.0,18.59,11597816.0
2024-11-05,16.0,17.48,15.98,16.74,5721783.0
2024-11-04,15.51,16.2,15.1382,15.56,3125264.0
2024-11-01,16.04,17.33,15.735,16.02,6521859.0
2024-10-31,18.03,18.215,15.78,15.79,7379350.0
2024-10-30,16.77,18.385,16.6501,18.155,6647186.0
2024-10-29,18.01,18.38,16.82,17.18,8234752.0
2024-10-28,15.51,17.49,15.41,17.21,8626529.0
2024-10-25,15.44,15.747,14.54,14.9,5061698.0
2024-10-24,15.94,16.1998,14.93,15.305,4593267.0
2024-10-23,15.45,15.81,14.62,15.11,4961109.0
2024-10-22,15.01,16.0398,15.01,15.66,5720413.0
2024-10-21,14.35,15.52,13.79,15.33,7369900.0
2024-10-18,12.85,14.84,12.85,14.47,7036262.0
2024-10-17,12.81,13.365,12.54,12.67,4362560.0
2024-10-16,12.03,12.9277,11.708,12.9,6529593.0
2024-10-15,12.2,12.4889,11.425,11.77,5395262.0
2024-10-14,12.17,12.67,11.8336,12.18,3634781.0
2024-10-11,11.12,11.83,11.11,11.72,2673224.0
2024-10-10,10.83,11.201,10.7024,11.12,2144637.0
2024-10-09,11.29,11.42,10.94,10.97,2926967.0
2024-10-08,11.7,11.8299,11.17,11.335,2844331.0
2024-10-07,12.0,12.475,11.54,11.72,3187933.0
2024-10-04,12.13,12.28,11.7001,12.02,2561278.0
2024-10-03,11.81,12.02,11.445,11.73,2088908.0
2024-10-02,11.44,12.1585,11.36,11.98,2556419.0
2024-10-01,12.27,12.37,11.3,11.555,3876055.0
2024-09-30,12.51,12.63,12.01,12.26,4754361.0
2024-09-27,12.96,13.3199,12.64,13.08,4132267.0
