,1. open,2. high,3. low,4. close,5. volume
2024-11-07,244.5,244.57,235.22,236.38,16451071.0
2024-11-06,235.0,248.0,234.77,247.06,23987753.0
2024-11-05,220.03,221.96,220.0,221.49,5600686.0
2024-11-04,222.65,223.76,219.17,219.78,8229588.0
2024-11-01,223.56,226.15,222.7,222.94,6923452.0
2024-10-31,224.7,225.69,221.82,221.92,7829932.0
2024-10-30,222.54,226.31,221.58,224.41,7110941.0
2024-10-29,225.21,226.75,222.81,222.9,6580004.0
2024-10-28,223.35,225.64,222.95,225.5,6842956.0
2024-10-25,225.0,225.62,220.875,222.31,6369720.0
2024-10-24,221.83,225.06,221.66,224.98,6002202.0
2024-10-23,223.66,224.7999,222.53,223.41,6180528.0
2024-10-22,223.02,225.28,221.1,224.12,9586793.0
2024-10-21,225.22,225.7,222.9,223.0,5869959.0
2024-10-18,225.0,225.92,223.1,225.37,7000543.0
2024-10-17,224.27,225.85,223.31,224.42,6470186.0
2024-10-16,222.33,223.68,221.04,223.64,6382515.0
2024-10-15,223.66,225.45,221.82,222.39,9235825.0
2024-10-14,223.2,223.7,218.88,221.48,9048925.0
2024-10-11,215.67,224.6299,215.16,222.29,18320650.0
2024-10-10,214.81,214.81,211.47,212.84,7927051.0
2024-10-09,209.7,214.24,209.38,213.42,7023998.0
2024-10-08,210.58,211.33,208.38,210.75,6021772.0
2024-10-07,211.03,213.33,209.69,210.93,6718898.0
2024-10-04,209.3,211.67,206.91,211.22,10213415.0
2024-10-03,206.17,206.49,204.34,205.23,7251325.0
2024-10-02,207.08,208.95,205.69,207.29,5810931.0
2024-10-01,208.9,209.09,206.19,207.04,8540064.0
2024-09-30,206.31,210.96,205.26,210.86,8668314.0
2024-09-27,210.65,212.44,209.33,210.5,7032450.0
