,1. open,2. high,3. low,4. close,5. volume
2024-11-07,576.89,594.7999,575.21,591.7,14653708.0
2024-11-06,562.75,573.0,555.1679,572.05,18305429.0
2024-11-05,567.305,573.48,566.67,572.43,9775379.0
2024-11-04,564.1,568.69,557.89,560.68,12064601.0
2024-11-01,567.605,573.67,562.56,567.16,15303235.0
2024-10-31,585.0,589.9,563.01,567.58,26838395.0
2024-10-30,600.98,601.2,589.38,591.8,26864925.0
2024-10-29,580.145,593.67,575.398,593.28,13019092.0
2024-10-28,582.0,583.7499,574.12,578.16,10925131.0
2024-10-25,573.935,581.29,571.72,573.25,11337874.0
2024-10-24,567.125,568.8799,561.52,567.78,7184651.0
2024-10-23,579.97,585.0,562.5,563.69,14248419.0
2024-10-22,574.29,583.53,572.12,582.01,8544463.0
2024-10-21,576.03,577.2399,569.11,575.16,8171879.0
2024-10-18,581.1,583.9675,575.25,576.47,7694274.0
2024-10-17,583.33,584.97,575.2,576.93,8701158.0
2024-10-16,581.395,582.08,574.03,576.79,11268384.0
2024-10-15,590.16,590.61,580.143,586.27,9564236.0
2024-10-14,594.22,600.1,589.96,590.42,8251971.0
2024-10-11,584.83,591.21,582.71,589.95,8587051.0
2024-10-10,587.57,590.23,582.52,583.83,7740449.0
2024-10-09,593.99,594.39,581.61,590.51,9529707.0
2024-10-08,589.69,593.56,585.97,592.89,7857377.0
2024-10-07,598.22,602.95,584.04,584.78,12014198.0
2024-10-04,583.73,596.85,581.43,595.94,14199788.0
2024-10-03,570.15,583.36,568.73,582.77,11580980.0
2024-10-02,574.86,576.0,569.34,572.81,6524650.0
2024-10-01,577.98,583.04,570.1,576.47,15259274.0
2024-09-30,567.7,574.68,564.8,572.44,12807206.0
2024-09-27,570.1,570.8399,564.51,567.36,9398367.0
