,1. open,2. high,3. low,4. close,5. volume
2024-11-07,11.87,12.6399,11.73,12.39,32921326.0
2024-11-06,10.78,12.29,10.61,12.25,55373590.0
2024-11-05,9.16,9.83,9.16,9.71,20322653.0
2024-11-04,9.2,9.2,8.715,8.98,22381096.0
2024-11-01,9.43,9.965,9.25,9.44,23181540.0
2024-10-31,9.965,10.23,9.1,9.24,26822943.0
2024-10-30,10.57,10.91,10.42,10.48,24276723.0
2024-10-29,10.85,11.19,10.72,10.87,28045188.0
2024-10-28,10.02,10.7,9.93,10.56,31325377.0
2024-10-25,10.23,10.2794,9.6109,9.64,22731209.0
2024-10-24,10.0,10.4479,9.88,10.19,23849705.0
2024-10-23,9.78,9.875,9.4,9.77,19160252.0
2024-10-22,9.59,9.965,9.3,9.92,15335813.0
2024-10-21,9.75,9.765,9.38,9.74,17448228.0
2024-10-18,9.39,9.95,9.38,9.86,23257595.0
2024-10-17,8.92,9.46,8.76,9.2,21264045.0
2024-10-16,8.991,9.12,8.784,9.08,17126399.0
2024-10-15,8.71,9.13,8.59,8.77,22863007.0
2024-10-14,8.66,8.91,8.43,8.74,30168548.0
2024-10-11,7.78,8.44,7.75,8.41,20035653.0
2024-10-10,7.77,7.87,7.61,7.74,13501139.0
2024-10-09,8.14,8.21,7.76,7.82,18864072.0
2024-10-08,7.98,8.22,7.87,8.16,21403428.0
2024-10-07,8.05,8.52,7.9,8.16,34911758.0
2024-10-04,7.58,7.86,7.45,7.85,20294711.0
2024-10-03,7.19,7.44,7.15,7.43,11312007.0
2024-10-02,7.08,7.3658,7.014,7.25,12494614.0
2024-10-01,7.4,7.45,6.98,7.08,14987112.0
2024-09-30,7.56,7.62,7.35,7.42,13260777.0
2024-09-27,8.0,8.07,7.695,7.84,16598059.0
