,1. open,2. high,3. low,4. close,5. volume
2024-11-08,222.95,223.45,219.9,221.4,1236943.0
2024-11-07,215.1,221.05,215.1,220.6,1665250.0
2024-11-06,217.8,219.75,212.95,212.95,1733240.0
2024-11-05,214.0,216.05,213.65,215.65,723021.0
2024-11-04,215.75,216.0,212.6,213.8,827154.0
2024-11-01,215.85,217.0,214.15,216.75,1320549.0
2024-10-31,216.7,218.05,213.25,214.8,1751632.0
2024-10-30,223.75,224.1,219.35,219.55,1609493.0
2024-10-29,223.1,224.6,222.5,224.0,1203241.0
2024-10-28,220.75,223.05,220.4,222.7,1271298.0
2024-10-25,219.5,221.8,219.5,221.05,1376516.0
2024-10-24,218.65,220.4,216.95,219.05,1202150.0
2024-10-23,215.05,219.85,214.15,218.65,1429594.0
2024-10-22,221.65,223.2,215.25,215.25,2857814.0
2024-10-21,213.0,214.05,210.75,210.75,1273312.0
2024-10-18,210.7,213.25,209.9,212.85,1221882.0
2024-10-17,210.95,212.75,210.2,211.6,1139463.0
2024-10-16,211.5,213.15,210.25,210.65,1556440.0
2024-10-15,213.6,214.55,208.95,209.8,1922303.0
2024-10-14,209.0,211.9,208.7,211.55,872373.0
2024-10-11,205.75,208.6,205.3,208.6,1282328.0
2024-10-10,207.8,208.25,204.5,206.05,1140645.0
2024-10-09,205.65,208.0,204.4,207.85,1030514.0
2024-10-08,200.9,205.0,200.05,205.0,1192951.0
2024-10-07,200.65,201.15,199.64,200.3,959990.0
2024-10-04,199.6,201.8,198.52,200.7,1192147.0
2024-10-03,199.42,202.2,199.12,200.8,1394256.0
2024-10-02,204.25,204.75,201.2,203.75,820111.0
2024-10-01,206.95,208.65,203.65,204.3,1474402.0
2024-09-30,204.55,207.05,204.4,204.4,1774113.0
