,1. open,2. high,3. low,4. close,5. volume
2024-11-07,18.2,18.34,18.12,18.27,3689062.0
2024-11-06,18.0,18.02,17.83,17.99,2960259.0
2024-11-05,18.0,18.1,17.9,18.05,2271733.0
2024-11-04,17.75,17.85,17.72,17.74,1727604.0
2024-11-01,17.68,17.84,17.62,17.73,1581125.0
2024-10-31,17.82,17.82,17.56,17.6,2136271.0
2024-10-30,18.07,18.11,17.965,17.98,3015313.0
2024-10-29,17.76,17.88,17.7,17.85,2698742.0
2024-10-28,17.71,17.79,17.68,17.75,2573747.0
2024-10-25,17.55,17.675,17.5401,17.62,2607447.0
2024-10-24,17.6,17.74,17.59,17.69,2544491.0
2024-10-23,17.5,17.64,17.4201,17.53,2842236.0
2024-10-22,17.9,17.94,17.82,17.89,2630698.0
2024-10-21,18.14,18.17,18.02,18.1,2361303.0
2024-10-18,18.11,18.24,18.08,18.22,2534658.0
2024-10-17,18.6,18.62,18.435,18.51,1662855.0
2024-10-16,18.7,18.7,18.61,18.68,1885227.0
2024-10-15,18.81,18.85,18.6,18.66,2120213.0
2024-10-14,18.9,19.155,18.87,19.09,2081280.0
2024-10-11,18.74,19.05,18.74,18.98,1725822.0
2024-10-10,18.91,18.94,18.715,18.86,2079358.0
2024-10-09,18.83,19.23,18.7105,19.05,1981849.0
2024-10-08,95.41,95.47,95.05,95.14,403445.0
2024-10-07,95.61,96.41,95.35,95.66,668409.0
2024-10-04,94.3,94.95,94.23,94.85,458539.0
2024-10-03,93.99,94.6,93.76,94.0,462395.0
2024-10-02,95.27,95.27,93.9,94.95,743162.0
2024-10-01,96.88,97.41,96.0292,96.8,984423.0
2024-09-30,96.9,97.0,96.0675,96.57,453073.0
2024-09-27,97.63,98.33,96.095,96.16,837194.0
