,1. open,2. high,3. low,4. close,5. volume
2024-11-07,55.22,56.35,55.2,56.07,2849317.0
2024-11-06,53.44,53.98,53.05,53.69,2526787.0
2024-11-05,54.55,54.9275,54.51,54.92,1958836.0
2024-11-04,53.8,54.23,53.63,53.67,1514668.0
2024-11-01,53.95,54.1225,53.51,53.6,1739494.0
2024-10-31,52.35,52.41,51.96,52.21,1961916.0
2024-10-30,52.79,53.18,52.6,52.9,1638041.0
2024-10-29,54.25,54.25,53.59,53.61,2512861.0
2024-10-28,53.66,54.25,53.53,54.08,2068534.0
2024-10-25,54.2,54.59,54.04,54.05,1604681.0
2024-10-24,54.22,54.36,53.78,54.21,1616784.0
2024-10-23,54.85,55.0,54.41,54.41,1446755.0
2024-10-22,54.17,54.75,54.09,54.54,2137653.0
2024-10-21,54.0,54.3,53.7,54.14,1114190.0
2024-10-18,55.44,55.44,55.01,55.04,2046277.0
2024-10-17,53.05,53.13,52.4,52.74,1713400.0
2024-10-16,53.5,54.11,53.45,53.76,2042789.0
2024-10-15,54.0,54.07,52.84,53.12,4515418.0
2024-10-14,56.14,56.91,55.62,55.8645,1888516.0
2024-10-11,55.61,56.92,55.4,56.7,3036639.0
2024-10-10,56.28,56.7,55.5745,56.15,3136116.0
2024-10-09,55.85,56.93,55.77,56.56,4742180.0
2024-10-08,57.43,57.92,56.12,57.34,6079772.0
2024-10-07,61.43,62.57,60.94,62.35,4485210.0
2024-10-04,60.79,60.95,60.16,60.77,4627249.0
2024-10-03,59.03,60.05,58.92,59.43,3014968.0
2024-10-02,60.05,60.73,59.22,60.66,5549983.0
2024-10-01,56.1,57.3,55.49,57.23,5501776.0
2024-09-30,57.36,57.36,55.24,55.4,7334043.0
2024-09-27,56.55,57.25,56.07,57.04,6504433.0
