,1. open,2. high,3. low,4. close,5. volume
2024-11-07,83.72,84.39,83.42,83.85,12665777.0
2024-11-06,85.14,85.54,82.06,83.44,19974038.0
2024-11-05,82.68,83.77,82.51,83.68,10612489.0
2024-11-04,82.2,82.905,82.0,82.45,11731043.0
2024-11-01,82.53,82.53,81.54,82.19,12181833.0
2024-10-31,81.29,82.44,81.22,81.95,15538968.0
2024-10-30,81.6,81.83,81.3,81.39,9268824.0
2024-10-29,82.67,82.86,81.665,81.7,9682403.0
2024-10-28,82.75,83.08,82.47,82.75,7990186.0
2024-10-25,83.2,83.3,82.435,82.51,8959412.0
2024-10-24,82.96,83.315,82.58,83.04,11645856.0
2024-10-23,81.89,83.34,81.8,83.27,13058244.0
2024-10-22,81.11,82.225,80.825,82.02,12240149.0
2024-10-21,81.23,81.5496,80.72,80.81,9750376.0
2024-10-18,80.87,81.69,80.66,81.31,12324148.0
2024-10-17,81.27,81.5,80.645,80.89,9424705.0
2024-10-16,81.53,81.66,80.62,81.22,11123254.0
2024-10-15,80.67,81.8201,80.51,81.65,13276221.0
2024-10-14,80.05,80.51,79.76,80.29,9914477.0
2024-10-11,79.7,80.13,79.37,80.1,9570734.0
2024-10-10,80.31,80.32,79.46,79.61,10812700.0
2024-10-09,79.82,80.5,79.75,80.4,12413030.0
2024-10-08,79.62,79.82,79.07,79.71,15269963.0
2024-10-07,80.69,80.94,78.98,79.1,16791646.0
2024-10-04,80.05,81.115,79.85,80.94,11591388.0
2024-10-03,80.3,80.575,79.85,80.43,11640421.0
2024-10-02,80.99,80.99,80.12,80.43,16618272.0
2024-10-01,80.68,81.53,80.435,81.27,16054249.0
2024-09-30,79.89,80.94,79.86,80.75,19008187.0
2024-09-27,79.9,80.2875,79.6,79.78,11899050.0
